(np.float64(0.0), np.float64(0.662982))
(np.float64(0.662982), np.float64(1.325964))
(np.float64(1.325964), np.float64(1.657455))
(np.float64(1.657455), np.float64(2.1546914999999998))
(np.float64(2.1546914999999998), np.float64(2.320437))
(np.float64(2.320437), np.float64(2.4861825))
(np.float64(2.4861825), np.float64(2.651928))
(np.float64(2.651928), np.float64(2.983419))
(np.float64(2.983419), np.float64(3.4806555))
(np.float64(3.4806555), np.float64(3.646401))
(np.float64(3.646401), np.float64(3.8121465))
(np.float64(3.8121465), np.float64(3.9778919999999998))
(np.float64(3.9778919999999998), np.float64(4.3093829999999995))
(np.float64(4.3093829999999995), np.float64(4.8066195))
(np.float64(4.8066195), np.float64(4.972365))
(np.float64(4.972365), np.float64(5.1381105))
(np.float64(5.1381105), np.float64(5.303856))
(np.float64(5.303856), np.float64(5.635347))
(np.float64(5.635347), np.float64(6.1325835))
(np.float64(6.1325835), np.float64(6.298329))
(np.float64(6.298329), np.float64(6.4640745))
(np.float64(6.4640745), np.float64(6.62982))
(np.float64(6.62982), np.float64(6.961311))
(np.float64(6.961311), np.float64(7.4585475))
(np.float64(7.4585475), np.float64(7.624293))
(np.float64(7.624293), np.float64(7.7900385))
(np.float64(7.7900385), np.float64(7.9557839999999995))
(np.float64(7.9557839999999995), np.float64(8.287275))
(np.float64(8.287275), np.float64(8.7845115))
(np.float64(8.7845115), np.float64(8.950257))
(np.float64(8.950257), np.float64(9.1160025))
(np.float64(9.1160025), np.float64(9.281748))
(np.float64(9.281748), np.float64(9.613239))
(np.float64(9.613239), np.float64(10.1104755))
(np.float64(10.1104755), np.float64(10.276221))
(np.float64(10.276221), np.float64(10.4419665))
(np.float64(10.4419665), np.float64(10.607712))
(np.float64(10.607712), np.float64(10.939203))
(np.float64(10.939203), np.float64(11.270694))
(np.float64(11.270694), np.float64(11.4364395))
(np.float64(11.4364395), np.float64(11.7679305))
(np.float64(11.7679305), np.float64(12.265167))
(np.float64(12.265167), np.float64(12.596658))
(np.float64(12.596658), np.float64(12.928149))
(np.float64(12.928149), np.float64(13.0938945))
(np.float64(13.0938945), np.float64(14.50273125))
(np.float64(14.585604), np.float64(14.917095))
(np.float64(14.917095), np.float64(15.248586))
(np.float64(15.248586), np.float64(15.580077))
(np.float64(15.580077), np.float64(15.911567999999999))
(np.float64(15.911567999999999), np.float64(16.243059))
(np.float64(16.243059), np.float64(16.57455))
(np.float64(16.57455), np.float64(16.906041))
(np.float64(16.906041), np.float64(17.237531999999998))
(np.float64(17.237531999999998), np.float64(17.403277499999998))
(np.float64(17.403277499999998), np.float64(17.7347685))
(np.float64(17.7347685), np.float64(18.232005))
(np.float64(18.232005), np.float64(18.563496))
(np.float64(18.563496), np.float64(18.894987))
(np.float64(18.894987), np.float64(19.226478))
(np.float64(19.226478), np.float64(19.557969))
(np.float64(19.557969), np.float64(19.88946))
(np.float64(19.88946), np.float64(20.220951))
(np.float64(20.220951), np.float64(20.552442))
(np.float64(20.552442), np.float64(20.883933))
(np.float64(20.883933), np.float64(21.0496785))
(np.float64(21.0496785), np.float64(21.215424))
(np.float64(21.215424), np.float64(21.546915))
(np.float64(21.546915), np.float64(21.878406))
(np.float64(21.878406), np.float64(22.209896999999998))
(np.float64(22.209896999999998), np.float64(22.541388))
(np.float64(22.541388), np.float64(22.872879))
(np.float64(22.872879), np.float64(23.20437))
(np.float64(23.20437), np.float64(23.3701155))
(np.float64(23.3701155), np.float64(23.7016065))
(np.float64(23.7016065), np.float64(25.11044325))
(np.float64(25.193316), np.float64(25.524807))
(np.float64(25.524807), np.float64(25.856298))
(np.float64(25.856298), np.float64(26.187789))
(np.float64(26.187789), np.float64(26.51928))
(np.float64(26.51928), np.float64(26.6850255))
(np.float64(26.6850255), np.float64(27.016516499999998))
(np.float64(27.016516499999998), np.float64(27.513753))
(np.float64(27.513753), np.float64(27.845244))
(np.float64(27.845244), np.float64(28.176735))
(np.float64(28.176735), np.float64(28.508226))
(np.float64(28.508226), np.float64(28.6739715))
(np.float64(28.6739715), np.float64(29.0054625))
(np.float64(29.0054625), np.float64(30.41429925))
(np.float64(30.497172), np.float64(30.828663))
(np.float64(30.828663), np.float64(31.160154))
(np.float64(31.160154), np.float64(31.491645))
(np.float64(31.491645), np.float64(31.823135999999998))
(np.float64(31.823135999999998), np.float64(32.154627))
(np.float64(32.154627), np.float64(32.486118))
(np.float64(32.486118), np.float64(32.817609))
(np.float64(32.817609), np.float64(33.1491))
(np.float64(33.1491), np.float64(33.480591))
(np.float64(33.480591), np.float64(33.812082))
(np.float64(33.812082), np.float64(34.143572999999996))
(np.float64(34.143572999999996), np.float64(34.475063999999996))
(np.float64(34.475063999999996), np.float64(34.806554999999996))
(np.float64(34.806554999999996), np.float64(35.138046))
(np.float64(35.138046), np.float64(35.469537))
(np.float64(35.469537), np.float64(35.801028))
(np.float64(35.801028), np.float64(36.132519))
(np.float64(36.132519), np.float64(36.46401))
(np.float64(36.46401), np.float64(36.795501))
(np.float64(36.795501), np.float64(37.126992))
(np.float64(37.126992), np.float64(37.458483))
(np.float64(37.458483), np.float64(37.789974))
(np.float64(37.789974), np.float64(38.121465))
(np.float64(38.121465), np.float64(38.452956))
(np.float64(38.452956), np.float64(38.784447))
(np.float64(38.784447), np.float64(39.115938))
(np.float64(39.115938), np.float64(39.447429))
(np.float64(39.447429), np.float64(39.77892))
(np.float64(39.77892), np.float64(40.2761565))
(np.float64(40.2761565), np.float64(40.773393))
(np.float64(40.773393), np.float64(41.2706295))
(np.float64(41.2706295), np.float64(42.18222975))
(np.float64(42.430848), np.float64(42.762339))
(np.float64(42.762339), np.float64(43.09383))
(np.float64(43.09383), np.float64(43.425321))
(np.float64(43.425321), np.float64(43.756812))
(np.float64(43.756812), np.float64(43.922557499999996))
(np.float64(43.922557499999996), np.float64(44.254048499999996))
(np.float64(44.254048499999996), np.float64(44.585539499999996))
(np.float64(44.585539499999996), np.float64(44.917030499999996))
(np.float64(44.917030499999996), np.float64(45.082776))
(np.float64(45.082776), np.float64(45.414267))
(np.float64(45.414267), np.float64(45.745758))
(np.float64(45.745758), np.float64(46.077249))
(np.float64(46.077249), np.float64(46.40874))
(np.float64(46.40874), np.float64(46.5744855))
(np.float64(46.5744855), np.float64(46.740231))
(np.float64(46.740231), np.float64(46.9059765))
(np.float64(46.9059765), np.float64(47.2374675))
(np.float64(47.2374675), np.float64(47.5689585))
(np.float64(47.5689585), np.float64(47.734704))
(np.float64(47.734704), np.float64(48.066195))
(np.float64(48.066195), np.float64(48.397686))
(np.float64(48.397686), np.float64(48.729177))
(np.float64(48.729177), np.float64(49.060668))
(np.float64(49.060668), np.float64(49.2264135))
(np.float64(49.2264135), np.float64(49.392159))
(np.float64(49.392159), np.float64(49.5579045))
(np.float64(49.5579045), np.float64(49.8893955))
(np.float64(49.8893955), np.float64(50.386632))
(np.float64(50.386632), np.float64(50.718123))
(np.float64(50.718123), np.float64(51.049614))
(np.float64(51.049614), np.float64(51.381105))
(np.float64(51.381105), np.float64(51.712596))
(np.float64(51.712596), np.float64(52.044087))
(np.float64(52.044087), np.float64(52.375578))
(np.float64(52.375578), np.float64(52.707069))
(np.float64(52.707069), np.float64(53.03856))
(np.float64(53.03856), np.float64(53.370051))
(np.float64(53.370051), np.float64(53.701541999999996))
(np.float64(53.701541999999996), np.float64(54.033032999999996))
(np.float64(54.033032999999996), np.float64(54.364523999999996))
(np.float64(54.364523999999996), np.float64(54.530269499999996))
(np.float64(54.530269499999996), np.float64(54.861760499999995))
(np.float64(54.861760499999995), np.float64(55.1932515))
(np.float64(55.1932515), np.float64(55.358997))
(np.float64(55.358997), np.float64(55.690488))
(np.float64(55.690488), np.float64(56.021979))
(np.float64(56.021979), np.float64(56.35347))
(np.float64(56.35347), np.float64(56.684961))
(np.float64(56.684961), np.float64(57.016452))
(np.float64(57.016452), np.float64(57.1821975))
(np.float64(57.1821975), np.float64(57.347943))
(np.float64(57.347943), np.float64(57.5136885))
(np.float64(57.5136885), np.float64(57.8451795))
(np.float64(57.8451795), np.float64(58.010925))
(np.float64(58.010925), np.float64(58.342416))
(np.float64(58.342416), np.float64(58.673907))
(np.float64(58.673907), np.float64(59.005398))
(np.float64(59.005398), np.float64(59.336889))
(np.float64(59.336889), np.float64(59.66838))
(np.float64(59.66838), np.float64(59.8341255))
(np.float64(59.8341255), np.float64(59.999871))
(np.float64(59.999871), np.float64(60.1656165))
(np.float64(60.1656165), np.float64(60.4971075))
(np.float64(60.4971075), np.float64(60.994344))
(np.float64(60.994344), np.float64(61.325835))
(np.float64(61.325835), np.float64(61.657326))
(np.float64(61.657326), np.float64(61.988817))
(np.float64(61.988817), np.float64(62.320308))
(np.float64(62.320308), np.float64(62.651799))
(np.float64(62.651799), np.float64(62.98329))
(np.float64(62.98329), np.float64(63.314780999999996))
(np.float64(63.314780999999996), np.float64(63.646271999999996))
(np.float64(63.646271999999996), np.float64(63.977762999999996))
(np.float64(63.977762999999996), np.float64(64.309254))
(np.float64(64.309254), np.float64(64.4749995))
(np.float64(64.4749995), np.float64(64.8064905))
(np.float64(64.8064905), np.float64(65.303727))
(np.float64(65.303727), np.float64(65.635218))
(np.float64(65.635218), np.float64(65.966709))
(np.float64(65.966709), np.float64(66.1324545))
(np.float64(66.1324545), np.float64(67.54129125))
(np.float64(67.624164), np.float64(67.955655))
(np.float64(67.955655), np.float64(68.28714599999999))
(np.float64(68.28714599999999), np.float64(68.61863699999999))
(np.float64(68.61863699999999), np.float64(68.95012799999999))
(np.float64(68.95012799999999), np.float64(69.28161899999999))
(np.float64(69.28161899999999), np.float64(69.61310999999999))
(np.float64(69.61310999999999), np.float64(69.944601))
(np.float64(69.944601), np.float64(70.276092))
(np.float64(70.276092), np.float64(70.4418375))
(np.float64(70.4418375), np.float64(70.7733285))
(np.float64(70.7733285), np.float64(71.270565))
(np.float64(71.270565), np.float64(71.602056))
(np.float64(71.602056), np.float64(71.933547))
(np.float64(71.933547), np.float64(72.265038))
(np.float64(72.265038), np.float64(72.596529))
(np.float64(72.596529), np.float64(72.92802))
(np.float64(72.92802), np.float64(73.259511))
(np.float64(73.259511), np.float64(73.591002))
(np.float64(73.591002), np.float64(73.922493))
(np.float64(73.922493), np.float64(74.0882385))
(np.float64(74.0882385), np.float64(74.253984))
(np.float64(74.253984), np.float64(74.585475))
(np.float64(74.585475), np.float64(74.916966))
(np.float64(74.916966), np.float64(75.248457))
(np.float64(75.248457), np.float64(75.579948))
(np.float64(75.579948), np.float64(75.911439))
(np.float64(75.911439), np.float64(76.24293))
(np.float64(76.24293), np.float64(76.4086755))
(np.float64(76.4086755), np.float64(76.7401665))
(np.float64(76.7401665), np.float64(78.14900324999999))
(np.float64(78.231876), np.float64(78.563367))
(np.float64(78.563367), np.float64(78.894858))
(np.float64(78.894858), np.float64(79.226349))
(np.float64(79.226349), np.float64(79.55784))
(np.float64(79.55784), np.float64(79.7235855))
(np.float64(79.7235855), np.float64(80.0550765))
(np.float64(80.0550765), np.float64(80.552313))
(np.float64(80.552313), np.float64(80.883804))
(np.float64(80.883804), np.float64(81.215295))
(np.float64(81.215295), np.float64(81.546786))
(np.float64(81.546786), np.float64(81.7125315))
(np.float64(81.7125315), np.float64(82.0440225))
(np.float64(82.0440225), np.float64(83.45285925))
(np.float64(83.535732), np.float64(83.867223))
(np.float64(83.867223), np.float64(84.198714))
(np.float64(84.198714), np.float64(84.530205))
(np.float64(84.530205), np.float64(84.861696))
(np.float64(84.861696), np.float64(85.193187))
(np.float64(85.193187), np.float64(85.524678))
(np.float64(85.524678), np.float64(85.856169))
(np.float64(85.856169), np.float64(86.18766))
(np.float64(86.18766), np.float64(86.519151))
(np.float64(86.519151), np.float64(86.850642))
(np.float64(86.850642), np.float64(87.182133))
(np.float64(87.182133), np.float64(87.513624))
(np.float64(87.513624), np.float64(87.84511499999999))
(np.float64(87.84511499999999), np.float64(88.17660599999999))
(np.float64(88.17660599999999), np.float64(88.50809699999999))
(np.float64(88.50809699999999), np.float64(88.83958799999999))
(np.float64(88.83958799999999), np.float64(89.17107899999999))
(np.float64(89.17107899999999), np.float64(89.50256999999999))
(np.float64(89.50256999999999), np.float64(89.83406099999999))
(np.float64(89.83406099999999), np.float64(90.165552))
(np.float64(90.165552), np.float64(90.497043))
(np.float64(90.497043), np.float64(90.828534))
(np.float64(90.828534), np.float64(91.160025))
(np.float64(91.160025), np.float64(91.491516))
(np.float64(91.491516), np.float64(91.823007))
(np.float64(91.823007), np.float64(92.154498))
(np.float64(92.154498), np.float64(92.485989))
(np.float64(92.485989), np.float64(92.81748))
(np.float64(92.81748), np.float64(93.3147165))
(np.float64(93.3147165), np.float64(93.811953))
(np.float64(93.811953), np.float64(94.3091895))
(np.float64(94.3091895), np.float64(95.22078975))
(np.float64(95.469408), np.float64(95.800899))
(np.float64(95.800899), np.float64(96.13239))
(np.float64(96.13239), np.float64(96.463881))
(np.float64(96.463881), np.float64(96.795372))
(np.float64(96.795372), np.float64(96.9611175))
(np.float64(96.9611175), np.float64(97.2926085))
(np.float64(97.2926085), np.float64(97.6240995))
(np.float64(97.6240995), np.float64(97.9555905))
(np.float64(97.9555905), np.float64(98.121336))
(np.float64(98.121336), np.float64(98.452827))
(np.float64(98.452827), np.float64(98.784318))
(np.float64(98.784318), np.float64(99.115809))
(np.float64(99.115809), np.float64(99.4473))
(np.float64(99.4473), np.float64(99.6130455))
(np.float64(99.6130455), np.float64(99.778791))
(np.float64(99.778791), np.float64(99.9445365))
(np.float64(99.9445365), np.float64(100.2760275))
(np.float64(100.2760275), np.float64(100.6075185))
(np.float64(100.6075185), np.float64(100.773264))
(np.float64(100.773264), np.float64(101.104755))
(np.float64(101.104755), np.float64(101.436246))
(np.float64(101.436246), np.float64(101.767737))
(np.float64(101.767737), np.float64(102.099228))
(np.float64(102.099228), np.float64(102.2649735))
(np.float64(102.2649735), np.float64(102.430719))
(np.float64(102.430719), np.float64(102.5964645))
(np.float64(102.5964645), np.float64(102.9279555))
(np.float64(102.9279555), np.float64(103.425192))
(np.float64(103.425192), np.float64(103.756683))
(np.float64(103.756683), np.float64(104.088174))
(np.float64(104.088174), np.float64(104.419665))
(np.float64(104.419665), np.float64(104.751156))
(np.float64(104.751156), np.float64(105.082647))
(np.float64(105.082647), np.float64(105.414138))
(np.float64(105.414138), np.float64(105.745629))
(np.float64(105.745629), np.float64(106.07712))
(np.float64(106.07712), np.float64(106.408611))
(np.float64(106.408611), np.float64(106.740102))
(np.float64(106.740102), np.float64(107.071593))
(np.float64(107.071593), np.float64(107.40308399999999))
(np.float64(107.40308399999999), np.float64(107.56882949999999))
(np.float64(107.56882949999999), np.float64(107.90032049999999))
(np.float64(107.90032049999999), np.float64(108.23181149999999))
(np.float64(108.23181149999999), np.float64(108.39755699999999))
(np.float64(108.39755699999999), np.float64(108.72904799999999))
(np.float64(108.72904799999999), np.float64(109.06053899999999))
(np.float64(109.06053899999999), np.float64(109.39202999999999))
(np.float64(109.39202999999999), np.float64(109.72352099999999))
(np.float64(109.72352099999999), np.float64(110.055012))
(np.float64(110.055012), np.float64(110.2207575))
(np.float64(110.2207575), np.float64(110.386503))
(np.float64(110.386503), np.float64(110.5522485))
(np.float64(110.5522485), np.float64(110.8837395))
(np.float64(110.8837395), np.float64(111.049485))
(np.float64(111.049485), np.float64(111.380976))
(np.float64(111.380976), np.float64(111.712467))
(np.float64(111.712467), np.float64(112.043958))
(np.float64(112.043958), np.float64(112.375449))
(np.float64(112.375449), np.float64(112.70694))
(np.float64(112.70694), np.float64(112.8726855))
(np.float64(112.8726855), np.float64(113.038431))
(np.float64(113.038431), np.float64(113.2041765))
(np.float64(113.2041765), np.float64(113.5356675))
(np.float64(113.5356675), np.float64(114.032904))
(np.float64(114.032904), np.float64(114.364395))
(np.float64(114.364395), np.float64(114.695886))
(np.float64(114.695886), np.float64(115.027377))
(np.float64(115.027377), np.float64(115.358868))
(np.float64(115.358868), np.float64(115.690359))
(np.float64(115.690359), np.float64(116.02185))
(np.float64(116.02185), np.float64(116.353341))
(np.float64(116.353341), np.float64(116.684832))
(np.float64(116.684832), np.float64(116.8505775))
(np.float64(116.8505775), np.float64(117.1820685))
(np.float64(117.1820685), np.float64(117.5135595))
(np.float64(117.5135595), np.float64(118.010796))
(np.float64(118.010796), np.float64(118.1765415))
(np.float64(118.1765415), np.float64(118.5080325))
(np.float64(118.5080325), np.float64(118.8395235))
(np.float64(118.8395235), np.float64(119.1710145))
(np.float64(119.1710145), np.float64(120.57985125))
(np.float64(120.662724), np.float64(121.1599605))
(np.float64(121.1599605), np.float64(121.90581525))
(np.float64(121.988688), np.float64(122.1544335))
(np.float64(122.1544335), np.float64(122.4859245))
(np.float64(122.4859245), np.float64(122.8174155))
(np.float64(122.8174155), np.float64(123.314652))
(np.float64(123.314652), np.float64(123.4803975))
(np.float64(123.4803975), np.float64(123.8118885))
(np.float64(123.8118885), np.float64(124.1433795))
(np.float64(124.1433795), np.float64(124.4748705))
(np.float64(124.4748705), np.float64(125.88370725))
(np.float64(125.96658), np.float64(126.4638165))
(np.float64(126.4638165), np.float64(127.20967125))
(np.float64(127.29254399999999), np.float64(127.45828949999999))
(np.float64(127.45828949999999), np.float64(127.78978049999999))
(np.float64(127.78978049999999), np.float64(128.1212715))
(np.float64(128.1212715), np.float64(128.618508))
(np.float64(128.618508), np.float64(128.7842535))
(np.float64(128.7842535), np.float64(129.1157445))
(np.float64(129.1157445), np.float64(129.4472355))
(np.float64(129.4472355), np.float64(129.7787265))
(np.float64(129.7787265), np.float64(131.18756325))
(np.float64(131.270436), np.float64(131.7676725))
(np.float64(131.7676725), np.float64(132.51352725))
(np.float64(132.5964), np.float64(132.7621455))
(np.float64(132.7621455), np.float64(133.0936365))
(np.float64(133.0936365), np.float64(133.4251275))
(np.float64(133.4251275), np.float64(133.922364))
(np.float64(133.922364), np.float64(134.0881095))
(np.float64(134.0881095), np.float64(134.4196005))
(np.float64(134.4196005), np.float64(134.7510915))
(np.float64(134.7510915), np.float64(135.248328))
(np.float64(135.248328), np.float64(135.7455645))
(np.float64(135.91131), np.float64(136.4085465))
(np.float64(136.57429199999999), np.float64(136.7400375))
(np.float64(136.7400375), np.float64(137.0715285))
(np.float64(137.0715285), np.float64(137.56876499999998))
(np.float64(137.56876499999998), np.float64(137.90025599999998))
(np.float64(137.90025599999998), np.float64(138.23174699999998))
(np.float64(138.23174699999998), np.float64(138.56323799999998))
(np.float64(138.56323799999998), np.float64(138.89472899999998))
(np.float64(138.89472899999998), np.float64(139.22621999999998))
(np.float64(139.22621999999998), np.float64(139.55771099999998))
(np.float64(139.55771099999998), np.float64(139.889202))
(np.float64(139.889202), np.float64(140.220693))
(np.float64(140.220693), np.float64(140.3864385))
(np.float64(140.3864385), np.float64(141.79527525))
(np.float64(141.878148), np.float64(142.209639))
(np.float64(142.209639), np.float64(142.54113))
(np.float64(142.54113), np.float64(142.872621))
(np.float64(142.872621), np.float64(143.204112))
(np.float64(143.204112), np.float64(143.535603))
(np.float64(143.535603), np.float64(143.867094))
(np.float64(143.867094), np.float64(144.198585))
(np.float64(144.198585), np.float64(144.530076))
(np.float64(144.530076), np.float64(144.6958215))
(np.float64(144.6958215), np.float64(145.0273125))
(np.float64(145.0273125), np.float64(145.524549))
(np.float64(145.524549), np.float64(145.85604))
(np.float64(145.85604), np.float64(146.187531))
(np.float64(146.187531), np.float64(146.519022))
(np.float64(146.519022), np.float64(146.850513))
(np.float64(146.850513), np.float64(147.182004))
(np.float64(147.182004), np.float64(147.513495))
(np.float64(147.513495), np.float64(147.844986))
(np.float64(147.844986), np.float64(148.176477))
(np.float64(148.176477), np.float64(148.507968))
(np.float64(148.507968), np.float64(148.839459))
(np.float64(148.839459), np.float64(149.17095))
(np.float64(149.17095), np.float64(149.502441))
(np.float64(149.502441), np.float64(149.833932))
(np.float64(149.833932), np.float64(149.9996775))
(np.float64(149.9996775), np.float64(150.3311685))
(np.float64(150.3311685), np.float64(150.6626595))
(np.float64(150.6626595), np.float64(150.9941505))
(np.float64(150.9941505), np.float64(151.159896))
(np.float64(151.159896), np.float64(151.491387))
(np.float64(151.491387), np.float64(151.822878))
(np.float64(151.822878), np.float64(152.154369))
(np.float64(152.154369), np.float64(152.48586))
(np.float64(152.48586), np.float64(152.6516055))
(np.float64(152.6516055), np.float64(152.817351))
(np.float64(152.817351), np.float64(152.9830965))
(np.float64(152.9830965), np.float64(153.3145875))
(np.float64(153.3145875), np.float64(153.6460785))
(np.float64(153.6460785), np.float64(153.811824))
(np.float64(153.811824), np.float64(154.143315))
(np.float64(154.143315), np.float64(154.474806))
(np.float64(154.474806), np.float64(154.806297))
(np.float64(154.806297), np.float64(155.137788))
(np.float64(155.137788), np.float64(155.3035335))
(np.float64(155.3035335), np.float64(155.469279))
(np.float64(155.469279), np.float64(155.6350245))
(np.float64(155.6350245), np.float64(155.96651549999999))
(np.float64(155.96651549999999), np.float64(156.463752))
(np.float64(156.463752), np.float64(156.795243))
(np.float64(156.795243), np.float64(157.126734))
(np.float64(157.126734), np.float64(157.458225))
(np.float64(157.458225), np.float64(157.789716))
(np.float64(157.789716), np.float64(158.121207))
(np.float64(158.121207), np.float64(158.452698))
(np.float64(158.452698), np.float64(158.784189))
(np.float64(158.784189), np.float64(159.11568))
(np.float64(159.11568), np.float64(159.447171))
(np.float64(159.447171), np.float64(159.778662))
(np.float64(159.778662), np.float64(160.110153))
(np.float64(160.110153), np.float64(160.441644))
(np.float64(160.441644), np.float64(160.6073895))
(np.float64(160.6073895), np.float64(160.9388805))
